Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 6 [30720/49000 (62%)]	Train Loss: 2.055655	Val Loss: 2.060503	Val Acc: 39
Train Epoch: 6 [35840/49000 (73%)]	Train Loss: 2.060049	Val Loss: 2.050807	Val Acc: 40
Train Epoch: 6 [40960/49000 (83%)]	Train Loss: 2.047325	Val Loss: 2.054120	Val Acc: 40
Train Epoch: 6 [46080/49000 (94%)]	Train Loss: 2.040519	Val Loss: 2.050035	Val Acc: 40
Train Epoch: 7 [0/49000 (0%)]	Train Loss: 2.023363	Val Loss: 2.051063	Val Acc: 41
Train Epoch: 7 [5120/49000 (10%)]	Train Loss: 2.031738	Val Loss: 2.053469	Val Acc: 40
Train Epoch: 7 [10240/49000 (21%)]	Train Loss: 2.023244	Val Loss: 2.051323	Val Acc: 40
Train Epoch: 7 [15360/49000 (31%)]	Train Loss: 2.053776	Val Loss: 2.051328	Val Acc: 40
Train Epoch: 7 [20480/49000 (42%)]	Train Loss: 2.045523	Val Loss: 2.051751	Val Acc: 40
Train Epoch: 7 [25600/49000 (52%)]	Train Loss: 2.028404	Val Loss: 2.048105	Val Acc: 40
Train Epoch: 7 [30720/49000 (62%)]	Train Loss: 2.053391	Val Loss: 2.050395	Val Acc: 40
Train Epoch: 7 [35840/49000 (73%)]	Train Loss: 2.053937	Val Loss: 2.049258	Val Acc: 41
Train Epoch: 7 [40960/49000 (83%)]	Train Loss: 2.038729	Val Loss: 2.053057	Val Acc: 39
Train Epoch: 7 [46080/49000 (94%)]	Train Loss: 2.050891	Val Loss: 2.056353	Val Acc: 39
Train Epoch: 8 [0/49000 (0%)]	Train Loss: 2.027316	Val Loss: 2.051629	Val Acc: 40
Train Epoch: 8 [5120/49000 (10%)]	Train Loss: 2.065958	Val Loss: 2.046138	Val Acc: 40
Train Epoch: 8 [10240/49000 (21%)]	Train Loss: 2.035594	Val Loss: 2.045896	Val Acc: 41
Train Epoch: 8 [15360/49000 (31%)]	Train Loss: 2.029775	Val Loss: 2.042234	Val Acc: 41
Train Epoch: 8 [20480/49000 (42%)]	Train Loss: 2.040229	Val Loss: 2.048527	Val Acc: 41
Train Epoch: 8 [25600/49000 (52%)]	Train Loss: 2.039082	Val Loss: 2.042721	Val Acc: 41
Train Epoch: 8 [30720/49000 (62%)]	Train Loss: 2.029617	Val Loss: 2.047108	Val Acc: 40
Train Epoch: 8 [35840/49000 (73%)]	Train Loss: 2.053113	Val Loss: 2.042448	Val Acc: 41
Train Epoch: 8 [40960/49000 (83%)]	Train Loss: 2.051504	Val Loss: 2.045954	Val Acc: 41
Train Epoch: 8 [46080/49000 (94%)]	Train Loss: 2.016869	Val Loss: 2.054025	Val Acc: 40
Train Epoch: 9 [0/49000 (0%)]	Train Loss: 2.033055	Val Loss: 2.050320	Val Acc: 40
Train Epoch: 9 [5120/49000 (10%)]	Train Loss: 2.021450	Val Loss: 2.051062	Val Acc: 40
Train Epoch: 9 [10240/49000 (21%)]	Train Loss: 2.053618	Val Loss: 2.050327	Val Acc: 40
